crate	loc	files	decorative_hits	test_count	pub_fn_count	classification
Omnisystem/src/crates/deployment-lifecycle	934	8	0	0	7	real-or-minimal
Omnisystem/src/crates/intelligent-automation-engine	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/module-interfaces	655	4	0	30	5	real-or-minimal
Omnisystem/src/crates/observability-aggregator	868	7	0	0	8	real-or-minimal
Omnisystem/src/crates/omnisystem-observability-bridge	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/real-time-at-scale	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/accessibility-framework	82	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/advanced-launcher	183	8	0	3	3	real-or-minimal
Omnisystem/src/crates/advanced-monitoring	245	6	0	0	3	real-or-minimal
Omnisystem/src/crates/ai-conversation-memory	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/ai-powered-help-system	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/ai-scheduling-optimizer	93	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/alerting-configuration-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/analytics-viewer-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/animation-library	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/audit-logging-platform	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/auth-system	335	6	0	0	4	real-or-minimal
Omnisystem/src/crates/automated-optimization-agent	93	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/automation-builder-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/backup-restoration-engine	94	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/backup-restore-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/billing-metering-engine	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/blue-green-deployment	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/canary-deployment	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/circuit-breaker	794	7	0	0	5	real-or-minimal
Omnisystem/src/crates/clinical-decision-support	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/command-executor	94	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/compliance-framework	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/config-management	194	6	0	0	4	real-or-minimal
Omnisystem/src/crates/configuration-engine	94	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/container-management-ui	99	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/container-performance-profiler	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/container-runtime	1049	8	0	0	7	real-or-minimal
Omnisystem/src/crates/container-security-platform	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/continuous-learning-framework	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/correlation-analysis-engine	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/cost-optimization-engine	97	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/dashboard-engine	85	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/data-privacy	251	6	0	0	4	real-or-minimal
Omnisystem/src/crates/data-sharding	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/data-table-component	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/decision-tree-explainer	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/deployment-manager	118	5	0	0	2	real-or-minimal
Omnisystem/src/crates/deployment-wizard-ui	99	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/developer-tools	123	5	0	0	2	real-or-minimal
Omnisystem/src/crates/disaster-recovery-platform	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/distributed-storage	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/docker-compose-advanced	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/docker-container-lifecycle	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/docker-image-manager	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/docker-network-manager	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/docker-registry-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/docker-volume-manager	94	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/dockerfile-optimizer	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/drag-drop-framework	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/encryption-manager	271	6	0	0	3	real-or-minimal
Omnisystem/src/crates/error-boundary-system	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/event-broker	360	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/event-driven-architecture	360	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/event-processor	360	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/event-streaming	502	8	0	7	13	SCAFFOLD
Omnisystem/src/crates/event-system	221	6	0	0	4	real-or-minimal
Omnisystem/src/crates/forecasting-engine-advanced	83	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/form-builder	82	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/form-components	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/ftp-sftp-core	1295	9	0	0	16	real-or-minimal
Omnisystem/src/crates/geo-replication	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/git-integration	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/global-distribution-engine	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/health-check-engine	94	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/healthcare-compliance-deep	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/high-availability-controller	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/high-throughput-processing	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/hipaa-engine	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/icon-library	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/image-management-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/infinite-scroll-component	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/infrastructure-as-code-engine	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/intelligent-command-parser	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/intelligent-recommendation-system	97	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/keyboard-shortcuts-system	224	4	0	6	8	real-or-minimal
Omnisystem/src/crates/kubernetes-integration-layer	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/launcher	270	10	0	0	6	real-or-minimal
Omnisystem/src/crates/launcher-core	916	10	0	1	10	real-or-minimal
Omnisystem/src/crates/layout-components	202	4	0	5	5	real-or-minimal
Omnisystem/src/crates/license-management-system	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/log-aggregation-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/logging-aggregator	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/logistics-analytics	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/low-latency-engine	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/massive-parallelism	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/medical-compliance	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/modal-component-library	226	4	0	6	8	real-or-minimal
Omnisystem/src/crates/monitoring-dashboard-ui	99	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/monitoring-integration-layer	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/multi-tenancy-engine	80	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/multi-tenant	244	6	0	0	4	real-or-minimal
Omnisystem/src/crates/natural-language-processing-engine	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/navigation-components	201	4	0	4	8	real-or-minimal
Omnisystem/src/crates/navigation-system	85	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/network-policy-manager	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/notification-dispatcher	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/notification-ui	85	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/omnidocker-state-manager	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-9-complete	358	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/omnisystem-cicd	771	13	0	10	10	real-or-minimal
Omnisystem/src/crates/omnisystem-connector	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-data-sync	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-deployment-bridge	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-event-bus-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-monitoring-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-security-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/omnisystem-web-framework	594	5	0	14	29	real-or-minimal
Omnisystem/src/crates/omnisystem-workflow-engine	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/patient-privacy	358	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/performance-optimizer	85	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/performance-tuning-advisor	97	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/petabyte-scale-engine	358	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/pre-launcher	1003	11	0	5	5	real-or-minimal
Omnisystem/src/crates/predictive-alerting-system	87	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/predictive-analytics-engine	97	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/procurement-analytics	361	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/request-hedging	728	7	0	0	6	real-or-minimal
Omnisystem/src/crates/resilience-patterns	676	7	0	5	9	real-or-minimal
Omnisystem/src/crates/resource-monitor	104	4	1	0	1	SCAFFOLD
Omnisystem/src/crates/responsive-design-framework	85	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/secret-management-integration	83	4	1	2	1	SCAFFOLD
Omnisystem/src/crates/security-analyzer	97	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/security-console-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/service-coordination	984	8	0	0	8	real-or-minimal
Omnisystem/src/crates/settings-configuration-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/state-management-framework	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/streaming-at-scale	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/supply-chain-analytics	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/tooltip-popover-library	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/treatment-ai	350	7	0	7	10	SCAFFOLD
Omnisystem/src/crates/ui-component-library	123	4	0	5	4	SCAFFOLD
Omnisystem/src/crates/visualization-library	82	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/volume-management-ui	95	4	1	4	4	SCAFFOLD
Omnisystem/src/crates/web-hosting-core	950	8	0	7	12	real-or-minimal
Omnisystem/src/crates/web-hosting-integration	1123	8	0	0	12	real-or-minimal
Omnisystem/src/crates/web-server-core	82	4	0	1	1	SCAFFOLD
Omnisystem/src/crates/zero-downtime-deployment	350	7	0	7	10	SCAFFOLD
Omnisystem/OmniHarness/crates/actors	1138	9	0	5	28	real-or-minimal
Omnisystem/OmniHarness/crates/audit-log	978	9	0	2	21	real-or-minimal
Omnisystem/OmniHarness/crates/capability-registry	588	6	0	8	24	real-or-minimal
Omnisystem/OmniHarness/crates/cas	455	5	0	2	7	real-or-minimal
Omnisystem/OmniHarness/crates/chess	2164	10	0	19	67	real-or-minimal
Omnisystem/OmniHarness/crates/coordinator	328	5	0	2	5	real-or-minimal
Omnisystem/OmniHarness/crates/crdt	461	5	0	7	34	real-or-minimal
Omnisystem/OmniHarness/crates/credits	879	11	0	2	30	real-or-minimal
Omnisystem/OmniHarness/crates/extensions	1289	9	0	2	29	real-or-minimal
Omnisystem/OmniHarness/crates/fabric	1198	7	0	7	14	real-or-minimal
Omnisystem/OmniHarness/crates/failure-finder	907	9	0	2	21	real-or-minimal
Omnisystem/OmniHarness/crates/go	1775	10	0	13	57	real-or-minimal
Omnisystem/OmniHarness/crates/go-nn	849	9	0	2	12	real-or-minimal
Omnisystem/OmniHarness/crates/hnsw	527	5	0	6	15	real-or-minimal
Omnisystem/OmniHarness/crates/iot-control	4405	38	0	122	239	real-or-minimal
Omnisystem/OmniHarness/crates/ir	4397	11	0	26	60	real-or-minimal
Omnisystem/OmniHarness/crates/ir-repr	9	1	0	0	0	SCAFFOLD
Omnisystem/OmniHarness/crates/kdb	742	9	0	4	24	real-or-minimal
Omnisystem/OmniHarness/crates/knowledge	751	6	0	6	32	real-or-minimal
Omnisystem/OmniHarness/crates/mailbox	303	7	0	2	10	real-or-minimal
Omnisystem/OmniHarness/crates/marketplace	515	9	0	2	26	real-or-minimal
Omnisystem/OmniHarness/crates/omnisystem-observability	313	1	0	0	0	real-or-minimal
Omnisystem/OmniHarness/crates/p2p-core	1197	16	0	9	41	real-or-minimal
Omnisystem/OmniHarness/crates/p2p-crypto	636	9	0	14	21	real-or-minimal
Omnisystem/OmniHarness/crates/package	370	8	0	2	15	real-or-minimal
Omnisystem/OmniHarness/crates/profiler	542	12	0	2	33	real-or-minimal
Omnisystem/OmniHarness/crates/query	744	7	0	9	17	real-or-minimal
Omnisystem/OmniHarness/crates/remote-desktop	4536	16	0	19	96	real-or-minimal
Omnisystem/OmniHarness/crates/sandbox	2168	20	0	14	43	real-or-minimal
Omnisystem/OmniHarness/crates/skill-compiler	865	10	0	3	18	real-or-minimal
Omnisystem/OmniHarness/crates/sns	673	7	0	2	21	real-or-minimal
Omnisystem/OmniHarness/crates/swarm	2008	16	0	2	44	real-or-minimal
Omnisystem/OmniHarness/crates/transfer-store	302	6	0	5	9	real-or-minimal
Omnisystem/OmniHarness/crates/verify	1473	8	0	18	61	real-or-minimal
Omnisystem/OmniHarness/crates/omnisystem-async-runtime	492	7	0	6	18	real-or-minimal
Omnisystem/OmniHarness/crates/omnisystem-collections	527	4	0	13	26	real-or-minimal
Omnisystem/OmniHarness/crates/omnisystem-serialization	465	1	0	0	0	real-or-minimal
Omnisystem/OmniHarness/crates/omnisystem-core	4683	15	0	52	178	real-or-minimal
Omnisystem/OmniHarness/crates/universe	647	5	0	0	15	real-or-minimal
Omnisystem/src/crates/freellmapi-core	483	5	0	5	8	real-or-minimal
Omnisystem/src/crates/freellmapi-storage	639	4	0	0	0	real-or-minimal
Omnisystem/src/crates/freellmapi-events	459	6	0	0	2	real-or-minimal
Omnisystem/src/crates/freellmapi-router	404	4	0	6	6	real-or-minimal
Omnisystem/src/crates/freellmapi-auth	405	3	0	1	4	real-or-minimal
Omnisystem/src/crates/freellmapi-orchestrator	320	5	0	6	6	real-or-minimal
Omnisystem/src/crates/freellmapi-ratelimit	270	3	0	2	1	real-or-minimal
Omnisystem/src/crates/freellmapi-billing	337	3	0	2	0	real-or-minimal
Omnisystem/src/crates/freellmapi-dashboard	257	4	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-providers-base	193	5	0	3	0	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-groq	271	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-openai	252	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-anthropic	245	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-mistral	242	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-gemini	241	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-cohere	240	3	0	1	1	real-or-minimal
Omnisystem/src/crates/freellmapi-provider-huggingface	232	3	0	1	1	real-or-minimal
Omnisystem/src/crates/omnisystem-cluster	2690	21	0	25	102	real-or-minimal
Omnisystem/src/crates/kef	2887	14	0	27	48	real-or-minimal
Omnisystem/src/crates/model-converter	2403	16	0	7	20	real-or-minimal
Omnisystem/src/crates/ai-advisor	2028	11	0	9	32	real-or-minimal
Omnisystem/src/crates/usee-search	2125	23	0	46	94	real-or-minimal
Omnisystem/src/crates/mobile-ffi	1009	6	0	18	31	real-or-minimal
Omnisystem/src/crates/omnisystem-aether	1641	15	0	12	89	real-or-minimal
Omnisystem/src/crates/omnisystem-integration	1622	16	0	17	77	real-or-minimal
Omnisystem/src/crates/omnisystem-kernel	1594	11	0	17	95	real-or-minimal
Omnisystem/src/crates/mesh-network	1573	8	0	24	77	real-or-minimal
Omnisystem/src/crates/network-firmware	1684	19	0	36	90	real-or-minimal
Omnisystem/src/crates/aion-agents	1589	19	0	31	81	real-or-minimal
Omnisystem/src/crates/etl	1797	13	0	1	12	real-or-minimal
Omnisystem/src/crates/fabrication-control	1548	13	0	31	57	real-or-minimal
Omnisystem/src/crates/omnisystem-ums	1424	7	0	5	28	real-or-minimal
Omnisystem/src/crates/pathfinder-core	1383	11	0	5	22	real-or-minimal
Omnisystem/src/crates/icds	1478	10	0	3	15	real-or-minimal
Omnisystem/src/crates/universal-cache	1423	14	0	22	48	real-or-minimal
Omnisystem/src/crates/service-mesh-core	1381	10	0	3	14	real-or-minimal
Omnisystem/src/crates/watchdog	1184	6	0	9	15	real-or-minimal
Omnisystem/src/crates/bmn-common	1047	8	0	4	17	real-or-minimal
Omnisystem/src/crates/bmn-sources	1173	7	0	8	28	real-or-minimal
Omnisystem/src/crates/bmn-compositor	1053	8	0	25	49	real-or-minimal
Omnisystem/src/crates/bmcs-gateway	1272	8	0	25	19	real-or-minimal
Omnisystem/src/crates/array	1056	6	0	14	59	real-or-minimal
Omnisystem/src/crates/observability-core	1336	9	0	0	10	real-or-minimal
Omnisystem/src/crates/coverage	1121	7	0	12	34	real-or-minimal
Omnisystem/src/crates/omnibot	1009	10	0	10	30	real-or-minimal
Omnisystem/src/crates/omnisystem-linux	1071	9	0	11	46	real-or-minimal
Omnisystem/src/crates/omnisystem-ffi	1131	7	0	21	35	real-or-minimal
Omnisystem/src/crates/creator	1702	13	0	5	17	real-or-minimal
Omnisystem/src/crates/ui-widgets	1157	8	0	29	50	real-or-minimal
Omnisystem/src/crates/api-bridge	1409	17	0	19	11	real-or-minimal
Omnisystem/src/crates/omnisystem-printer-core	994	10	0	19	24	real-or-minimal
Omnisystem/src/crates/resilience	975	10	0	18	34	real-or-minimal
Omnisystem/src/crates/observability	1045	11	0	10	36	real-or-minimal
Omnisystem/src/crates/bkp	883	8	0	7	28	real-or-minimal
Omnisystem/src/crates/service-manager	1209	8	0	12	19	real-or-minimal
Omnisystem/src/crates/dataframe	778	8	0	5	39	real-or-minimal
Omnisystem/src/crates/extension-converter	1044	8	0	0	3	real-or-minimal
Omnisystem/src/crates/tdl	1296	6	0	0	8	real-or-minimal
Omnisystem/src/crates/compile-time-repair	899	6	0	11	15	real-or-minimal
Omnisystem/src/crates/model-registry	653	7	0	1	9	real-or-minimal
Omnisystem/src/crates/omnisystem-connector-core	1310	14	0	36	44	real-or-minimal
Omnisystem/src/crates/crm-platform	1150	12	0	24	36	real-or-minimal
Omnisystem/src/crates/collaboration	953	8	0	4	9	real-or-minimal
Omnisystem/src/crates/test-orchestrator	1131	11	0	20	21	real-or-minimal
Omnisystem/src/crates/model-workshop	936	11	0	7	1	real-or-minimal
Omnisystem/src/crates/backend	984	7	0	14	20	real-or-minimal
Omnisystem/src/crates/bwe-core	1167	10	0	21	42	real-or-minimal
Omnisystem/src/crates/root	756	8	0	11	16	real-or-minimal
Omnisystem/src/crates/relay	745	6	0	7	10	real-or-minimal
Omnisystem/src/crates/eternal-workshop	777	7	0	6	4	real-or-minimal
Omnisystem/src/crates/kdb-sync	683	5	0	5	13	real-or-minimal
Omnisystem/src/crates/app-manager-config	588	7	0	13	28	real-or-minimal
Omnisystem/src/crates/titan-core	578	7	0	8	27	real-or-minimal
Omnisystem/src/crates/transfer-client	739	7	0	1	7	real-or-minimal
Omnisystem/src/crates/container	802	6	0	12	10	real-or-minimal
Omnisystem/src/crates/indexing-system	653	7	0	22	19	real-or-minimal
Omnisystem/src/crates/bedf-fuzzing	505	7	0	16	13	real-or-minimal
Omnisystem/src/crates/service-discovery	595	7	0	1	6	SCAFFOLD
Omnisystem/src/crates/data-pipeline	481	9	0	6	19	real-or-minimal
Omnisystem/src/crates/omnisystem-async	456	7	0	2	18	real-or-minimal
Omnisystem/src/crates/kernel-snapshot	492	9	0	10	17	real-or-minimal
Omnisystem/src/crates/api-gateway	280	7	0	1	6	SCAFFOLD
Omnisystem/src/crates/bmn-encoder	409	6	0	7	18	real-or-minimal
Omnisystem/src/crates/buddy	368	7	0	5	21	real-or-minimal
Omnisystem/src/crates/omnifile-explorer	367	7	0	7	21	real-or-minimal
Omnisystem/src/crates/model-trainer	388	7	0	5	16	real-or-minimal
Omnisystem/src/crates/mcp-manager	441	9	0	0	1	real-or-minimal
Omnisystem/src/crates/bedf-sanitizers	442	7	0	10	7	real-or-minimal
Omnisystem/src/crates/remote-access-support	398	7	0	8	18	real-or-minimal
Omnisystem/src/crates/omnisystem-runtime	488	9	0	13	20	real-or-minimal
Omnisystem/src/crates/bedf-concurrency	283	4	0	8	7	real-or-minimal
Omnisystem/src/crates/security-auditor	352	7	0	6	13	real-or-minimal
Omnisystem/src/crates/performance-profiler	544	6	0	1	4	real-or-minimal
Omnisystem/src/crates/pathfinder-test-framework	284	5	0	3	15	real-or-minimal
Omnisystem/src/crates/omnilingual	355	8	0	8	16	real-or-minimal
Omnisystem/src/crates/pathfinder-user-service	350	4	0	5	5	real-or-minimal
Omnisystem/src/crates/omnisystem-analytics	256	5	0	4	11	real-or-minimal
Omnisystem/src/crates/omnisystem-catalog	568	7	0	13	10	real-or-minimal
Omnisystem/src/crates/bedf-property	336	5	0	9	5	real-or-minimal
Omnisystem/src/crates/bmn-transport	375	5	0	1	7	real-or-minimal
Omnisystem/src/crates/p2p-identity	262	5	0	4	10	real-or-minimal
Omnisystem/src/crates/omnisystem-network	158	4	0	4	4	real-or-minimal
Omnisystem/src/crates/memory-optimizer	399	6	0	1	4	real-or-minimal
Omnisystem/src/crates/analytics-engine	394	5	0	0	2	real-or-minimal
Omnisystem/src/crates/performance-monitor	317	7	0	6	11	real-or-minimal
Omnisystem/src/crates/bedf-triage	480	7	0	14	13	real-or-minimal
Omnisystem/src/crates/auto-scaler	412	5	0	0	2	real-or-minimal
Omnisystem/src/crates/titan-opencv	523	5	0	8	29	real-or-minimal
Omnisystem/src/crates/cost-analyzer	368	5	0	0	2	real-or-minimal
Omnisystem/src/crates/chargeback-system	330	5	0	0	2	real-or-minimal
Omnisystem/src/crates/resource-quotas	379	5	0	0	2	real-or-minimal
Omnisystem/src/crates/real-time-aggregation	324	5	0	0	2	real-or-minimal
Omnisystem/src/crates/analytics-pipeline	432	5	0	0	2	real-or-minimal
Omnisystem/src/crates/feature-store	340	5	0	0	3	real-or-minimal
Omnisystem/src/crates/model-monitoring	375	5	0	0	2	real-or-minimal
Omnisystem/src/crates/distributed-cache	402	6	0	0	5	real-or-minimal
Omnisystem/src/crates/distributed-database	364	5	0	0	2	real-or-minimal
Omnisystem/src/crates/knowledge-graph	381	5	0	0	2	real-or-minimal
Omnisystem/src/crates/compliance-automation	320	5	0	0	2	real-or-minimal
Omnisystem/src/crates/transfer-ai	262	6	0	4	7	real-or-minimal
Omnisystem/src/crates/recovery-orchestration	347	5	0	0	4	real-or-minimal
Omnisystem/src/crates/alerting-system	304	5	0	0	2	real-or-minimal
Omnisystem/src/crates/cpu-scheduler	370	5	0	0	4	real-or-minimal
Omnisystem/src/crates/security-hardening	940	8	0	6	13	real-or-minimal
Omnisystem/src/crates/dashboarding-service	292	5	0	0	2	real-or-minimal
Omnisystem/src/crates/continuity-planning	444	5	0	0	3	real-or-minimal
Omnisystem/src/crates/stream-processor	366	5	0	0	2	real-or-minimal
Omnisystem/src/crates/message-queue-core	389	5	0	0	3	real-or-minimal
Omnisystem/src/crates/hotreload	393	5	0	12	20	real-or-minimal
Omnisystem/src/crates/buse-core	502	5	0	10	19	real-or-minimal
Omnisystem/src/crates/query-engine	386	5	0	0	2	real-or-minimal
